[02-Apr-2019 07:43:49 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:43:50 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:44:26 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:44:29 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:44:29 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 21
[02-Apr-2019 07:49:35 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:45 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:45 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:45 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:46 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:46 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:46 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:46 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:46 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:47 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:47 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:49:47 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:05 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:06 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:06 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:06 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:09 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:09 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
[02-Apr-2019 07:50:09 UTC] PHP Notice:  Undefined variable: oldResponse in C:\Users\admin\whs-service\src\routes.php on line 22
